name,stars,collected_at,domain
iflytek/astronclaw-tutorial,326,2026-03-30,AI Agent
tanviet12/chat-quality-agent,257,2026-03-30,AI Agent
krzysztofdudek/ResearcherSkill,141,2026-03-30,AI Agent
OpenDemon/Pilipili-AutoVideo,136,2026-03-30,AI Agent
openmemind/memind,108,2026-03-30,AI Agent
001TMF/blatant-why,37,2026-03-30,AI Agent
TacosyHorchata/Pilot,28,2026-03-30,AI Agent
kevdogg102396-afk/free-claude-code,8,2026-03-30,AI Agent
salespeak-ai/buyer-eval-skill,48,2026-03-30,AI Agent
papadopouloskyriakos/agentic-chatops,89,2026-03-30,AI Agent
Ambuj123-lab/agentic-rag-financial-parser,44,2026-03-30,RAG
fastclaw-ai/weclaw,944,2026-03-30,AI Agent
wong2/weixin-agent-sdk,963,2026-03-30,AI Agent
facebookresearch/HyperAgents,1869,2026-03-30,AI Agent
patoles/agent-flow,510,2026-03-30,AI Agent
oguzbilgic/agent-kernel,293,2026-03-30,AI Agent
samber/cc-skills-golang,703,2026-03-30,AI Agent
HKUDS/OpenSpace,2534,2026-03-30,AI Agent
alibaba-flyai/flyai-skill,277,2026-03-30,AI Agent
cisco-ai-defense/defenseclaw,244,2026-03-30,AI Agent
CN-Syndra/ClawLink,314,2026-03-30,AI Agent
truongduy2611/app-store-preflight-skills,988,2026-03-30,AI Agent
formulahendry/wechat-acp,328,2026-03-30,AI Agent
epiral/weixin-bot,325,2026-03-30,AI Agent
alvinunreal/awesome-autoresearch,985,2026-03-30,AI Agent
SethGammon/Citadel,409,2026-03-30,AI Agent
corespeed-io/wechatbot,205,2026-03-30,AI Agent
slowmist/slowmist-agent-security,284,2026-03-30,AI Agent
ironsh/iron-sensor,116,2026-03-30,AI Agent
varienos/agentic-workflow,46,2026-03-30,AI Agent
zhu1090093659/spec_driven_develop,257,2026-03-30,AI Agent
TongmingLAIC/AKO4ALL,99,2026-03-30,AI Agent
0xNyk/awesome-hermes-agent,458,2026-03-30,AI Agent
Miosa-osa/canopy,141,2026-03-30,AI Agent
saltbo/agent-kanban,159,2026-03-30,AI Agent
remorses/usecomputer,177,2026-03-30,AI Agent
jonwiggins/optio,663,2026-03-30,AI Agent
kesslernity/awesome-copilot-studio-agents,184,2026-03-30,AI Agent
robonuggets/claudeclaw,55,2026-03-30,AI Agent
timwuhaotian/the-pair,228,2026-03-30,AI Agent
lasywolf/Learn-OpenClaw,90,2026-03-30,AI Agent
pedrohlucena/hunter,77,2026-03-30,AI Agent
mediastormDev/dream-to-video-skill,203,2026-03-30,AI Agent
walter-grace/mac-code,469,2026-03-30,AI Agent
InternLM/WildClawBench,199,2026-03-30,AI Agent
meodai/skill.color-expert,327,2026-03-30,AI Agent
esaradev/icarus-daedalus,137,2026-03-30,AI Agent
sodofi/agent-brain,22,2026-03-30,AI Agent
Ataraxy-Labs/opensessions,377,2026-03-30,AI Agent
rohansx/wardn,29,2026-03-30,AI Agent
nashsu/opencli-rs-skill,175,2026-03-30,AI Agent
ch4r10t33r/sentrix,19,2026-03-30,AI Agent
neo4j-labs/create-context-graph,275,2026-03-30,AI Agent
capgym/cap-x,26,2026-03-30,AI Agent
aronprins/paperclip-company-playbook,39,2026-03-30,AI Agent
