id,company,title,publish_date,type,open_source,summary,details,url,tags,created_at
rss_https://simonwillison.net/2026/Apr/5/research-llm-apis/#atom-everything,Simon Willison,research-llm-apis 2026-04-04,2026-04-05,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/simonw/research-llm-apis/releases/tag/2026-04-04"">research-llm-apis 2026-04-04</a></p>
    <p>I'm working on a <a href=""https://github.com/simo",,https://simonwillison.net/2026/Apr/5/research-llm-apis/#atom-everything,,2026-04-05 04:32:34
rss_https://simonwillison.net/2026/Apr/6/datasette-ports-2/#atom-everything,Simon Willison,datasette-ports 0.2,2026-04-06,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-ports/releases/tag/0.2"">datasette-ports 0.2</a></p>
    <blockquote>
<ul>
<li>No longer requires Datasette - running <code>",,https://simonwillison.net/2026/Apr/6/datasette-ports-2/#atom-everything,,2026-04-06 04:39:44
rss_https://simonwillison.net/2026/Apr/6/cleanup-claude-code-paste/#atom-everything,Simon Willison,Cleanup Claude Code Paste,2026-04-06,其他,否,"<p><strong>Tool:</strong> <a href=""https://tools.simonwillison.net/cleanup-claude-code-paste"">Cleanup Claude Code Paste</a></p>
    <p>Super-niche tool this. I sometimes copy prompts out of the Claude",,https://simonwillison.net/2026/Apr/6/cleanup-claude-code-paste/#atom-everything,,2026-04-06 04:39:44
rss_https://simonwillison.net/2026/Apr/6/datasette-ports/#atom-everything,Simon Willison,datasette-ports 0.1,2026-04-06,其他,否,"<p><strong>Release:</strong> <a href=""https://github.com/datasette/datasette-ports/releases/tag/0.1"">datasette-ports 0.1</a></p>
    <p>Another <a href=""https://gisthost.github.io/?f92d8a6bdadee1c7797",,https://simonwillison.net/2026/Apr/6/datasette-ports/#atom-everything,,2026-04-06 04:39:44
rss_https://openai.com/index/introducing-openai-safety-fellowship,OpenAI,Announcing the OpenAI Safety Fellowship,2026-04-06,其他,否,A pilot program to support independent safety and alignment research and develop the next generation of talent,,https://openai.com/index/introducing-openai-safety-fellowship,,2026-04-07 04:29:00
rss_https://simonwillison.net/2026/Apr/7/project-glasswing/#atom-everything,Simon Willison,Anthropic's Project Glasswing - restricting Claude Mythos to security researchers - sounds necessary to me,2026-04-07,其他,否,"<p>Anthropic <em>didn't</em> release their latest model, Claude Mythos (<a href=""https://www-cdn.anthropic.com/53566bf5440a10affd749724787c8913a2ae0841.pdf"">system card PDF</a>), today. They have inst",,https://simonwillison.net/2026/Apr/7/project-glasswing/#atom-everything,,2026-04-08 04:32:08
rss_https://huggingface.co/blog/ibm-research/altk-evolve,Hugging Face,ALTK‑Evolve: On‑the‑Job Learning for AI Agents,2026-04-08,其他,否,,,https://huggingface.co/blog/ibm-research/altk-evolve,,2026-04-09 04:28:23
rss_https://simonwillison.net/2026/Apr/8/muse-spark/#atom-everything,Simon Willison,"Meta's new model is Muse Spark, and meta.ai chat has some interesting tools",2026-04-08,其他,否,"<p>Meta <a href=""https://ai.meta.com/blog/introducing-muse-spark-msl/"">announced Muse Spark</a> today, their first model release since Llama 4 <a href=""https://simonwillison.net/2025/Apr/5/llama-4-not",,https://simonwillison.net/2026/Apr/8/muse-spark/#atom-everything,,2026-04-09 04:28:24
rss_https://openai.com/index/cyberagent,OpenAI,CyberAgent moves faster with ChatGPT Enterprise and Codex,2026-04-09,其他,否,"CyberAgent uses ChatGPT Enterprise and Codex to securely scale AI adoption, improve quality, and accelerate decisions across advertising, media, and gaming.",,https://openai.com/index/cyberagent,,2026-04-10 04:42:05
rss_https://huggingface.co/blog/multimodal-sentence-transformers,Hugging Face,Multimodal Embedding & Reranker Models with Sentence Transformers,2026-04-09,其他,否,,,https://huggingface.co/blog/multimodal-sentence-transformers,,2026-04-10 04:42:06
